sample,raw_cm,cal_cm
0,29,27.4
1,29,27.4
2,29,27.4
3,29,27.4
4,29,27.4
5,29,27.4
6,29,27.4
7,29,27.4
8,29,27.4
9,29,27.4
10,29,27.4
11,28,26.4
12,29,27.4
13,29,27.4
14,29,27.4
15,29,27.4
16,29,27.4
17,29,27.4
18,29,27.4
19,29,27.4
20,29,27.4
21,29,27.4
22,30,28.4
23,29,27.4
24,29,27.4
25,29,27.4
26,29,27.4
27,29,27.4
28,29,27.4
29,29,27.4
30,29,27.4
31,29,27.4
32,29,27.4
33,29,27.4
34,29,27.4
35,29,27.4
36,29,27.4
37,29,27.4
38,29,27.4
39,29,27.4
40,30,28.4
41,30,28.4
42,29,27.4
43,29,27.4
46,29,27.4
47,29,27.4
48,29,27.4
49,29,27.4
50,29,27.4
51,29,27.4
52,29,27.4
54,29,27.4
55,29,27.4
57,29,27.4
58,29,27.4
59,29,27.4
61,29,27.4
62,29,27.4
65,29,27.4
69,29,27.4
70,29,27.4
74,29,27.4
75,29,27.4
76,28,26.4
79,29,27.4
80,29,27.4
81,29,27.4
82,30,28.4
84,29,27.4
86,29,27.4
87,29,27.4
88,30,28.4
89,29,27.4
90,29,27.4
91,29,27.4
94,29,27.4
95,30,28.4
96,29,27.4
97,29,27.4
98,29,27.4
99,30,28.4
