sample,raw_cm,cal_cm
0,30,28.4
1,31,29.4
2,31,29.4
3,30,28.4
4,30,28.4
5,31,29.4
6,31,29.4
7,30,28.4
8,30,28.4
9,30,28.4
10,30,28.4
11,30,28.4
12,30,28.4
13,30,28.4
14,30,28.4
15,31,29.4
16,31,29.4
17,30,28.4
18,30,28.4
19,31,29.4
20,31,29.4
21,31,29.4
22,30,28.4
23,31,29.4
3,31,29.4
24,30,28.4
25,30,28.4
26,30,28.4
27,30,28.4
28,30,28.4
29,30,28.4
30,31,29.4
31,31,29.4
33,30,28.4
34,30,28.4
35,30,28.4
36,30,28.4
37,30,28.4
38,31,29.4
39,30,28.4
41,31,29.4
42,30,28.4
43,30,28.4
44,31,29.4
45,30,28.4
46,30,28.4
47,30,28.4
49,31,29.4
50,30,28.4
51,30,28.4
52,31,29.4
53,31,29.4
54,30,28.4
57,30,28.4
58,31,29.4
59,30,28.4
60,30,28.4
61,31,29.4
62,31,29.4
65,31,29.4
66,30,28.4
67,30,28.4
68,30,28.4
69,30,28.4
70,30,28.4
73,30,28.4
74,30,28.4
75,31,29.4
76,31,29.4
77,31,29.4
80,31,29.4
81,30,28.4
82,30,28.4
83,31,29.4
84,63,61.4
85,31,29.4
88,30,28.4
89,30,28.4
90,30,28.4
91,31,29.4
92,31,29.4
95,31,29.4
96,31,29.4
97,31,29.4
98,30,28.4
99,30,28.4
