sample,raw_cm,cal_cm
0,29,27.4
1,29,27.4
2,29,27.4
3,29,27.4
4,29,27.4
5,29,27.4
6,29,27.4
7,29,27.4
8,29,27.4
9,29,27.4
10,29,27.4
11,29,27.4
12,29,27.4
13,29,27.4
14,29,27.4
15,29,27.4
16,29,27.4
17,29,27.4
18,29,27.4
19,29,27.4
20,29,27.4
21,29,27.4
22,29,27.4
23,29,27.4
24,29,27.4
25,29,27.4
26,29,27.4
27,29,27.4
28,29,27.4
29,29,27.4
30,29,27.4
31,29,27.4
32,29,27.4
33,28,26.4
34,29,27.4
36,29,27.4
37,29,27.4
38,29,27.4
39,29,27.4
40,29,27.4
41,29,27.4
42,29,27.4
43,29,27.4
44,29,27.4
45,29,27.4
46,29,27.4
47,29,27.4
48,29,27.4
49,29,27.4
50,29,27.4
51,29,27.4
52,29,27.4
53,29,27.4
54,29,27.4
55,29,27.4
56,29,27.4
57,29,27.4
58,29,27.4
59,29,27.4
60,29,27.4
61,29,27.4
62,29,27.4
63,29,27.4
64,29,27.4
65,29,27.4
66,29,27.4
67,29,27.4
68,29,27.4
69,28,26.4
70,29,27.4
71,29,27.4
72,29,27.4
73,29,27.4
74,29,27.4
76,29,27.4
77,29,27.4
78,28,26.4
79,28,26.4
80,28,26.4
81,28,26.4
82,28,26.4
84,28,26.4
85,28,26.4
86,28,26.4
87,28,26.4
88,29,27.4
89,28,26.4
90,28,26.4
92,28,26.4
93,28,26.4
94,28,26.4
95,28,26.4
96,29,27.4
97,28,26.4
98,28,26.4
