sample,raw_cm,cal_cm
0,16.473,16.453
1,16.626,16.606
2,16.609,16.589
3,16.626,16.606
4,16.626,16.606
5,16.609,16.589
6,16.626,16.606
7,16.609,16.589
8,16.609,16.589
9,16.626,16.606
10,16.626,16.606
11,16.626,16.606
12,16.626,16.606
13,16.609,16.589
14,16.609,16.589
15,16.609,16.589
16,16.609,16.589
17,16.711,16.691
18,16.626,16.606
19,16.626,16.606
20,16.609,16.589
21,16.609,16.589
22,16.609,16.589
23,16.626,16.606
24,16.626,16.606
25,16.626,16.606
26,16.626,16.606
27,16.626,16.606
28,16.728,16.708
29,16.626,16.606
30,16.609,16.589
31,16.626,16.606
32,16.626,16.606
33,16.609,16.589
34,16.609,16.589
35,16.626,16.606
36,16.626,16.606
37,16.626,16.606
38,16.626,16.606
39,16.694,16.674
40,16.609,16.589
41,16.626,16.606
42,16.626,16.606
43,16.626,16.606
44,16.626,16.606
45,16.609,16.589
46,16.609,16.589
47,16.609,16.589
48,16.626,16.606
49,16.626,16.606
50,16.626,16.606
51,16.609,16.589
52,16.626,16.606
53,16.609,16.589
54,16.609,16.589
55,16.626,16.606
56,16.626,16.606
57,16.609,16.589
58,16.626,16.606
59,16.626,16.606
60,16.609,16.589
61,16.609,16.589
62,16.626,16.606
63,16.609,16.589
64,16.626,16.606
65,16.626,16.606
66,16.609,16.589
67,16.609,16.589
68,16.626,16.606
69,16.609,16.589
70,16.626,16.606
71,16.626,16.606
72,16.609,16.589
73,16.626,16.606
74,16.626,16.606
75,16.626,16.606
76,16.609,16.589
77,16.626,16.606
78,16.626,16.606
79,16.609,16.589
80,16.626,16.606
81,16.626,16.606
82,16.609,16.589
83,16.609,16.589
84,16.626,16.606
85,16.609,16.589
86,16.609,16.589
87,16.609,16.589
88,16.609,16.589
89,16.609,16.589
90,16.626,16.606
91,16.626,16.606
92,16.609,16.589
93,16.609,16.589
94,16.609,16.589
95,16.626,16.606
96,16.694,16.674
97,16.609,16.589
98,16.626,16.606
99,16.626,16.606
