sample,raw_cm,cal_cm
0,5.134,5.114
1,5.032,5.012
2,5.134,5.114
3,5.134,5.114
4,5.134,5.114
5,5.032,5.012
6,5.032,5.012
7,5.134,5.114
8,5.134,5.114
9,5.032,5.012
10,5.032,5.012
11,5.134,5.114
12,5.134,5.114
13,5.134,5.114
14,5.015,4.995
15,5.032,5.012
16,5.117,5.097
17,5.134,5.114
18,5.134,5.114
19,5.032,5.012
20,5.083,5.063
21,5.134,5.114
22,5.134,5.114
23,5.134,5.114
24,5.032,5.012
25,5.117,5.097
26,5.134,5.114
27,5.134,5.114
28,5.134,5.114
29,5.032,5.012
30,5.134,5.114
31,5.134,5.114
32,5.134,5.114
33,5.117,5.097
34,5.032,5.012
35,5.134,5.114
36,5.134,5.114
37,5.134,5.114
38,5.117,5.097
39,5.032,5.012
40,5.134,5.114
41,5.134,5.114
42,5.134,5.114
43,5.134,5.114
44,5.032,5.012
45,5.066,5.046
46,5.134,5.114
47,5.134,5.114
48,5.134,5.114
49,5.032,5.012
50,5.134,5.114
51,5.117,5.097
52,5.134,5.114
53,5.134,5.114
54,5.015,4.995
55,5.117,5.097
56,5.134,5.114
57,5.117,5.097
58,5.117,5.097
59,5.032,5.012
60,5.134,5.114
61,5.134,5.114
62,5.117,5.097
63,5.134,5.114
64,5.032,5.012
65,5.117,5.097
66,5.134,5.114
67,5.134,5.114
68,5.134,5.114
69,5.032,5.012
70,5.134,5.114
71,5.134,5.114
72,5.134,5.114
73,5.134,5.114
74,5.032,5.012
75,5.134,5.114
76,5.134,5.114
77,5.117,5.097
78,5.117,5.097
79,5.015,4.995
80,5.117,5.097
81,5.117,5.097
82,5.117,5.097
83,5.117,5.097
84,5.032,5.012
85,5.117,5.097
86,5.117,5.097
87,5.134,5.114
88,5.117,5.097
89,5.032,5.012
90,5.134,5.114
91,5.117,5.097
92,5.117,5.097
93,5.134,5.114
94,5.015,4.995
95,5.117,5.097
96,5.117,5.097
97,5.134,5.114
98,5.134,5.114
99,5.032,5.012
