
sample,raw_cm,cal_cm
0,15.198,15.178
1,15.198,15.178
2,15.317,15.297
3,15.198,15.178
4,15.198,15.178
5,15.215,15.195
6,15.215,15.195
7,15.215,15.195
8,15.198,15.178
9,15.317,15.297
10,15.198,15.178
11,15.198,15.178
12,15.215,15.195
13,15.198,15.178
14,15.215,15.195
15,15.198,15.178
16,15.198,15.178
17,15.198,15.178
18,15.198,15.178
19,15.198,15.178
20,15.198,15.178
21,15.198,15.178
22,15.317,15.297
23,15.215,15.195
24,15.300,15.280
25,15.215,15.195
26,15.198,15.178
27,15.198,15.178
28,15.198,15.178
29,15.198,15.178
30,15.215,15.195
31,15.198,15.178
32,15.198,15.178
33,15.198,15.178
34,15.198,15.178
35,15.198,15.178
36,15.215,15.195
37,15.215,15.195
38,15.198,15.178
39,15.317,15.297
40,15.198,15.178
41,15.300,15.280
42,15.215,15.195
43,15.215,15.195
44,15.198,15.178
45,15.198,15.178
46,15.198,15.178
47,15.198,15.178
48,15.215,15.195
49,15.198,15.178
50,15.215,15.195
51,15.198,15.178
52,15.623,15.603
53,15.623,15.603
54,15.198,15.178
55,15.215,15.195
56,15.300,15.280
57,15.198,15.178
58,15.317,15.297
59,15.215,15.195
60,15.198,15.178
61,15.198,15.178
62,15.198,15.178
63,15.198,15.178
64,15.198,15.178
65,15.198,15.178
66,15.215,15.195
67,15.215,15.195
68,15.215,15.195
69,15.623,15.603
70,15.215,15.195
71,15.215,15.195
72,15.215,15.195
73,15.215,15.195
74,15.215,15.195
75,15.317,15.297
76,15.215,15.195
77,15.317,15.297
78,15.215,15.195
79,15.215,15.195
80,15.198,15.178
81,15.198,15.178
82,15.215,15.195
83,15.674,15.654
84,15.674,15.654
85,15.198,15.178
86,15.198,15.178
87,15.674,15.654
88,15.674,15.654
89,15.674,15.654
90,15.674,15.654
91,15.674,15.654
92,15.215,15.195
93,15.674,15.654
94,15.691,15.671
95,15.691,15.671
96,15.674,15.654
97,15.674,15.654
98,15.674,15.654
99,15.198,15.178
