sample,raw_cm,cal_cm
0,5.729,5.709
1,5.627,5.607
2,5.610,5.590
3,5.712,5.692
4,5.712,5.692
5,5.712,5.692
6,5.610,5.590
7,5.610,5.590
8,5.712,5.692
9,5.712,5.692
10,5.729,5.709
11,5.610,5.590
12,5.610,5.590
13,5.304,5.284
14,5.729,5.709
15,5.304,5.284
16,5.610,5.590
17,5.202,5.182
18,5.729,5.709
19,5.712,5.692
20,5.729,5.709
21,5.729,5.709
22,5.627,5.607
23,5.610,5.590
24,5.729,5.709
25,5.729,5.709
26,5.712,5.692
27,5.712,5.692
28,5.627,5.607
29,5.610,5.590
30,5.712,5.692
31,5.712,5.692
32,5.729,5.709
33,5.712,5.692
34,5.610,5.590
35,5.712,5.692
36,5.304,5.284
37,5.712,5.692
38,5.712,5.692
39,5.610,5.590
40,5.610,5.590
41,5.729,5.709
42,5.729,5.709
43,5.729,5.709
44,5.712,5.692
45,5.610,5.590
46,5.627,5.607
47,5.729,5.709
48,5.712,5.692
49,5.729,5.709
50,5.712,5.692
51,5.627,5.607
52,5.610,5.590
53,5.729,5.709
54,5.712,5.692
55,5.712,5.692
56,5.712,5.692
57,5.610,5.590
58,5.610,5.590
59,5.712,5.692
60,5.729,5.709
61,5.729,5.709
62,5.712,5.692
63,5.202,5.182
64,5.712,5.692
65,5.729,5.709
66,5.729,5.709
67,5.729,5.709
68,5.610,5.590
69,5.610,5.590
70,5.729,5.709
71,5.729,5.709
72,5.729,5.709
73,5.712,5.692
74,5.627,5.607
75,5.610,5.590
76,5.712,5.692
77,5.729,5.709
78,5.712,5.692
79,5.712,5.692
80,5.610,5.590
81,5.610,5.590
82,5.712,5.692
83,5.712,5.692
84,5.712,5.692
85,5.729,5.709
86,5.610,5.590
87,5.610,5.590
88,5.712,5.692
89,5.729,5.709
90,5.712,5.692
91,5.712,5.692
92,5.610,5.590
93,5.627,5.607
94,5.729,5.709
95,5.712,5.692
96,5.712,5.692
97,5.712,5.692
98,5.627,5.607
99,5.236,5.216
