sample,sonar,lidar,ir,fused
0,16.17,0,0,0
1,16.76,12,0,12
2,16.78,12,0,12
3,16.3,12,0,12
4,16.3,12,0,12
5,16.3,12,0,12
6,16.3,12,0,12
7,17.19,12,0,12
8,16.3,12,0,12
9,16.3,12,0,12
10,17.19,11,0,11
11,12.27,11,0,11
12,16.4,11,0,11
13,17.19,11,0,11
14,16.3,11,0,11
15,17.19,11,0,11
16,7.48,11,0,7.48
17,16.3,11,0,11
18,16.3,13,0,13
19,16.3,13,0,13
20,16.3,13,0,13
21,9.71,13,0,9.71
22,16.3,13,0,13
23,16.3,13,0,13
24,16.3,13,0,13
25,16.3,13,0,13
26,10.8,13,0,10.8
27,16.3,13,0,13
28,16.3,13,0,13
29,16.29,13,0,13
30,16.3,13,0,13
31,9.04,10,0,9.04
32,16.3,10,0,10
33,16.3,10,0,10
34,16.3,10,0,10
35,16.3,10,0,10
36,10.52,10,0,10
37,16.29,10,0,10
38,16.3,10,0,10
39,16.3,10,0,10
40,16.3,12,0,12
41,9.67,12,0,9.67
42,16.76,10,0,10
43,16.76,10,0,10
44,16.3,10,0,10
45,17.19,11,0,11
46,8.09,13,0,8.09
47,16.78,13,0,13
48,16.76,13,0,13
49,16.78,13,0,13
50,17.19,13,0,13
51,8.55,13,0,8.55
52,16.76,13,0,13
53,16.78,13,0,13
54,16.76,13,0,13
55,16.78,13,0,13
56,9.47,13,0,9.47
57,16.78,13,0,13
58,16.78,13,0,13
59,16.76,13,0,13
60,16.76,13,0,13
61,9.67,13,0,9.67
62,17.19,13,0,13
63,16.3,13,0,13
64,16.3,13,0,13
65,16.3,13,0,13
66,9.86,13,0,9.86
67,17.19,12,0,12
68,17.19,12,0,12
69,17.19,12,0,12
70,16.32,12,0,12
71,8.91,12,0,8.91
72,16.3,12,0,12
73,17.17,12,0,12
74,16.76,12,0,12
75,17.19,12,0,12
76,9.28,12,0,9.28
77,16.3,11,0,11
78,16.3,11,0,11
79,17.19,11,0,11
80,17.19,11,0,11
81,9.47,11,0,9.47
82,17.19,11,0,11
83,17.19,11,0,11
84,16.3,11,0,11
85,17.19,11,0,11
86,9.04,11,0,9.04
87,16.3,11,0,11
88,16.3,11,0,11
89,17.19,11,0,11
90,16.3,11,0,11
91,9.96,11,0,9.96
92,16.3,11,0,11
93,16.3,11,0,11
94,17.19,11,0,11
95,17.19,11,0,11
96,10.2,11,0,10.2
97,16.3,11,0,11
98,16.3,10,0,10
99,16.3,10,0,10
