sample,sonar,lidar,ir,fused
0,14.35,0,0,0.00
1,4.85,17,0,4.85
2,14.35,18,0,14.35
3,14.30,17,0,14.30
4,14.35,17,0,14.35
5,14.40,17,0,14.40
6,14.30,17,0,14.30
7,14.30,17,0,14.30
8,14.42,17,0,14.42
9,14.35,17,0,14.35
10,14.30,17,0,14.30
11,14.37,17,0,14.37
12,14.30,17,0,14.30
13,14.30,17,0,14.30
14,11.80,18,0,11.80
15,14.28,18,0,14.28
15,14.28,18,0,14.28
16,14.40,18,0,14.40
17,14.30,16,0,14.30
18,14.35,17,0,14.35
19,12.41,17,0,12.41
20,14.30,17,0,14.30
21,14.35,17,0,14.35
22,14.30,17,0,14.30
23,14.28,17,0,14.28
24,11.80,17,0,11.80
25,14.35,17,0,14.35
26,14.30,17,0,14.30
27,14.30,17,0,14.30
28,14.35,17,0,14.35
29,12.44,16,0,12.44
30,14.35,16,0,14.35
31,14.35,16,0,14.35
32,14.30,15,0,14.30
33,14.45,15,0,14.45
34,12.60,15,0,12.60
35,14.30,15,0,14.30
36,14.30,15,0,14.30
37,14.30,15,0,14.30
38,14.45,15,0,14.45
39,11.90,15,0,11.90
40,14.30,15,0,14.30
41,14.30,15,0,14.30
42,14.30,15,0,14.30
43,14.45,15,0,14.45
44,12.16,15,0,12.16
45,14.35,15,0,14.35
46,14.35,15,0,14.35
47,14.35,15,0,14.35
48,14.45,15,0,14.45
49,12.67,15,0,12.67
50,14.30,15,0,14.30
51,14.35,15,0,14.35
52,14.35,15,0,14.35
53,14.45,15,0,14.45
54,12.24,15,0,12.24
55,14.35,15,0,14.35
56,14.35,15,0,14.35
57,14.35,15,0,14.35
58,14.35,15,0,14.35
59,12.39,15,0,12.39
60,14.45,15,0,14.45
61,14.35,15,0,14.35
62,14.30,15,0,14.30
63,14.35,15,0,14.35
64,12.89,15,0,12.89
65,14.45,15,0,14.45
66,14.30,15,0,14.30
67,14.28,15,0,14.28
68,14.30,15,0,14.30
69,12.02,15,0,12.02
70,14.38,15,0,14.38
71,14.30,14,0,14.00
72,14.28,14,0,14.00
73,14.30,14,0,14.00
74,12.09,14,0,12.09
75,14.40,14,0,14.00
76,14.30,14,0,14.00
77,14.30,14,0,14.00
78,14.28,14,0,14.00
79,12.39,14,0,12.39
80,14.40,14,0,14.00
81,14.30,14,0,14.00
82,14.28,14,0,14.00
83,14.30,14,0,14.00
84,11.63,14,0,11.63
85,14.38,14,0,14.00
86,14.30,14,0,14.00
87,14.30,14,0,14.00
88,14.30,14,0,14.00
89,11.85,14,0,11.85
90,14.40,14,0,14.00
91,14.30,14,0,14.00
92,14.28,14,0,14.00
93,14.30,14,0,14.00
94,12.41,14,0,12.41
95,14.40,14,0,14.00
96,14.30,14,0,14.00
97,14.30,14,0,14.00
98,14.30,14,0,14.00
99,11.53,14,0,11.53



