sample,sonar,lidar,ir,fused
0,9.55,13,0,9.55
1,16.13,13,0,13.00
2,16.13,13,0,13.00
3,16.13,13,0,13.00
4,16.15,13,0,13.00
5,16.13,13,0,13.00
6,16.13,13,0,13.00
7,16.13,13,0,13.00
8,13.87,13,0,13.00
9,15.71,13,0,13.00
10,16.13,13,0,13.00
11,16.13,13,0,13.00
12,16.13,13,0,13.00
13,11.42,13,0,11.42
14,15.73,13,0,13.00
15,16.13,13,0,13.00
16,16.13,13,0,13.00
17,16.13,13,0,13.00
18,11.29,13,0,11.29
19,16.13,13,0,13.00
20,15.71,13,0,13.00
21,16.13,13,0,13.00
22,15.73,13,0,13.00
23,14.88,13,0,13.00
24,15.73,13,0,13.00
25,15.71,13,0,13.00
26,16.13,13,0,13.00
27,16.13,13,0,13.00
28,16.13,13,0,13.00
29,16.13,13,0,13.00
30,15.73,13,0,13.00
31,10.86,13,0,10.86
32,15.71,13,0,13.00
33,15.73,13,0,13.00
34,15.73,13,0,13.00
35,16.13,13,0,13.00
36,14.59,13,0,13.00
37,15.83,13,0,13.00
38,15.71,13,0,13.00
39,15.81,13,0,13.00
40,15.71,13,0,13.00
41,15.83,13,0,13.00
42,15.73,13,0,13.00
43,15.73,13,0,13.00
44,10.56,13,0,10.56
45,16.13,13,0,13.00
46,15.66,13,0,13.00
47,16.06,13,0,13.00
48,16.06,13,0,13.00
49,15.57,13,0,13.00
50,15.76,12,0,12.00
51,15.66,13,0,13.00
52,15.66,13,0,13.00
53,15.66,13,0,13.00
54,15.66,13,0,13.00
55,15.66,13,0,13.00
56,16.13,13,0,13.00
57,11.32,13,0,11.32
58,16.13,13,0,13.00
59,16.13,13,0,13.00
60,16.13,13,0,13.00
61,16.13,13,0,13.00
62,9.30,13,0,9.30
63,16.13,13,0,13.00
64,16.13,13,0,13.00
65,16.13,13,0,13.00
66,16.12,13,0,13.00
67,16.13,13,0,13.00
68,16.13,13,0,13.00
69,15.81,13,0,13.00
70,10.64,13,0,10.64
71,16.23,13,0,13.00
72,16.13,13,0,13.00
73,16.23,13,0,13.00
74,16.13,13,0,13.00
75,14.81,13,0,13.00
76,16.13,13,0,13.00
77,16.13,13,0,13.00
78,16.13,13,0,13.00
79,15.73,13,0,13.00
80,15.73,13,0,13.00
81,16.13,13,0,13.00
82,15.71,13,0,13.00
83,10.76,13,0,10.76
84,15.83,13,0,13.00
85,15.73,13,0,13.00
86,15.83,13,0,13.00
87,15.71,13,0,13.00
88,15.49,13,0,13.00
89,15.71,13,0,13.00
90,15.73,13,0,13.00
91,15.73,12,0,12.00
92,15.71,13,0,13.00
93,15.71,13,0,13.00
94,16.13,13,0,13.00
95,15.81,13,0,13.00
96,10.86,13,0,10.86
97,16.13,13,0,13.00
98,15.73,13,0,13.00
99,16.13,13,0,13.00
